Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q6,BTS500101LUAAUMA1,BTS500101LUAAUMA1,61.6966,-83.8116,180.0,top
Q7,BTS500101LUAAUMA1,BTS500101LUAAUMA1,73.7644,-83.8116,180.0,top
Q8,BTS500101LUAAUMA1,BTS500101LUAAUMA1,85.852,-83.8116,180.0,top
Q9,BTS500101LUAAUMA1,BTS500101LUAAUMA1,97.917,-83.8108,180.0,top
R1,0Ohm,R_0402_1005Metric,56.173,-147.8823,0.0,bottom
R10,2.3k,R_0402_1005Metric,62.833333,-114.157167,0.0,top
R100,1.2k,R_0402_1005Metric,108.2052,-123.835862,-90.0,top
R101,4.7k,R_0402_1005Metric,110.6752,-123.835862,90.0,top
R102,4.7k,R_0402_1005Metric,111.9152,-123.835862,90.0,top
R103,4.7k,R_0402_1005Metric,113.1452,-123.835862,90.0,top
R104,4.7k,R_0402_1005Metric,114.3852,-123.835862,90.0,top
R105,1.2k,R_0402_1005Metric,114.360694,-119.877041,0.0,top
R106,4.7k,R_0402_1005Metric,64.37,-81.96,90.0,bottom
R107,4.7k,R_0402_1005Metric,40.68,-93.06,90.0,bottom
R108,1k5,R_0402_1005Metric,84.6,-138.1,90.0,top
R109,1k5,R_0402_1005Metric,111.990001,-133.006201,0.0,top
R11,10k,R_0402_1005Metric,62.833333,-115.397167,0.0,bottom
R110,4.7k,R_0402_1005Metric,67.31,-84.58,90.0,bottom
R111,4.7k,R_0402_1005Metric,66.548,-89.916,135.0,bottom
R112,4.7k,R_0402_1005Metric,80.772,-113.284,225.0,bottom
R113,4.7k,R_0402_1005Metric,80.01,-114.046,225.0,bottom
R114,4.7k,R_0402_1005Metric,93.83,-121.1,180.0,top
R115,4.7k,R_0402_1005Metric,114.320694,-121.087041,180.0,top
R116,0Ohm,R_0402_1005Metric,54.2172,-152.8353,90.0,top
R117,0Ohm,R_0402_1005Metric,57.316,-152.8353,90.0,top
R118,0Ohm,R_0402_1005Metric,60.4148,-152.8353,90.0,top
R119,0Ohm,R_0402_1005Metric,63.539,-152.8353,90.0,top
R12,10k,R_0402_1005Metric,62.833333,-114.157167,0.0,bottom
R120,31.6k,R_0402_1005Metric,80.5075,-150.7675,0.0,top
R121,NA,R_0402_1005Metric,83.9075,-151.9675,180.0,top
R122,NA,R_0402_1005Metric,53.61,-123.21,45.0,top
R123,NA,R_0402_1005Metric,44.38,-128.52,315.0,bottom
R124,2.32k,R_0402_1005Metric,67.21,-140.290001,-90.0,top
R125,1k/0.2W,R_0603_1608Metric,23.42,-105.155,-90.0,top
R126,1k/0.2W,R_0603_1608Metric,24.92,-105.155,-90.0,top
R127,100k,R_0402_1005Metric,27.51,-115.61,315.0,bottom
R128,100k,R_0402_1005Metric,27.51,-115.61,-135.0,top
R129,1k/0.2W,R_0603_1608Metric,26.42,-105.155,-90.0,top
R13,2.3k,R_0402_1005Metric,62.833333,-115.397167,0.0,top
R130,1k/0.2W,R_0603_1608Metric,27.92,-105.155,-90.0,top
R131,100k,R_0402_1005Metric,29.16,-113.96,45.0,top
R132,100k,R_0402_1005Metric,29.159376,-113.960624,135.0,bottom
R133,1k/0.2W,R_0603_1608Metric,30.985,-105.145,-90.0,top
R134,1k/0.2W,R_0603_1608Metric,32.485,-105.145,-90.0,top
R135,1k/0.2W,R_0603_1608Metric,34.01,-105.145,-90.0,top
R136,1k/0.2W,R_0603_1608Metric,35.51,-105.145,-90.0,top
R137,100k,R_0402_1005Metric,31.290624,-111.839376,315.0,bottom
R138,100k,R_0402_1005Metric,31.290624,-111.839376,-135.0,top
R139,100k,R_0402_1005Metric,35.533892,-110.586665,135.0,top
R14,2.3k,R_0402_1005Metric,62.833333,-112.917167,0.0,top
R140,100k,R_0402_1005Metric,37.025,-112.025,135.0,top
R141,10k,R_0402_1005Metric,67.2,-142.44,-90.0,top
R142,4k7,R_0402_1005Metric,22.098,-110.744,90.0,top
R15,10k,R_0402_1005Metric,62.833333,-116.637167,0.0,bottom
R159,0Ohm,R_0402_1005Metric,32.145163,-102.253334,90.0,bottom
R16,10k,R_0402_1005Metric,62.833333,-112.917167,0.0,bottom
R160,0Ohm,R_0402_1005Metric,32.84,-100.260004,270.0,bottom
R161,0Ohm,R_0402_1005Metric,33.463442,-102.28,90.0,bottom
R162,0Ohm,R_0402_1005Metric,34.143333,-100.26667,270.0,bottom
R163,0Ohm,R_0402_1005Metric,34.781721,-102.266667,90.0,bottom
R164,0Ohm,R_0402_1005Metric,35.446666,-100.273336,270.0,bottom
R165,0Ohm,R_0402_1005Metric,36.1,-102.275,90.0,bottom
R166,0Ohm,R_0402_1005Metric,36.75,-100.280002,270.0,bottom
R167,2.2k,R_0402_1005Metric,50.3197,-148.12,270.0,bottom
